1|Customer#000000001|j5JsirBM9P|MOROCCO  5|MOROCCO|AFRICA|25-719-748-3364|BUILDING|
2|Customer#000000002|487LW1dovn6Q4dMVym|JORDAN   0|JORDAN|MIDDLE EAST|23-128-190-5944|AUTOMOBILE|
3|Customer#000000003|fkRGN8n|ARGENTINA3|ARGENTINA|AMERICA|11-750-942-6364|AUTOMOBILE|
4|Customer#000000004|4u58h f|EGYPT    8|EGYPT|MIDDLE EAST|14-114-968-4951|MACHINERY|
5|Customer#000000005|hwBtxkoBF qSW4KrI|CANADA   6|CANADA|AMERICA|13-190-982-9759|HOUSEHOLD|
6|Customer#000000006| g1s,pzDenUEBW3O,2 pxu|SAUDI ARA4|SAUDI ARABIA|MIDDLE EAST|30-147-574-9335|AUTOMOBILE|
7|Customer#000000007|8OkMVLQ1dK6Mbu6WG9|CHINA    8|CHINA|ASIA|28-338-906-3675|AUTOMOBILE|
8|Customer#000000008|j,pZ,Qp,qtFEo0r0c 92qo|PERU     0|PERU|AMERICA|27-741-346-9870|BUILDING|
9|Customer#000000009|vgIql8H6zoyuLMFN|INDIA    3|INDIA|ASIA|18-464-151-3439|FURNITURE|
10|Customer#000000010|Vf mQ6Ug9Ucf5OKGYq fs|ETHIOPIA 9|ETHIOPIA|AFRICA|15-791-276-1263|HOUSEHOLD|
11|Customer#000000011|cG48rYjF3Aw7xs|UNITED KI0|UNITED KINGDOM|EUROPE|33-761-547-5974|BUILDING|
12|Customer#000000012|Sb4gxKs7|JORDAN   5|JORDAN|MIDDLE EAST|23-845-129-3851|HOUSEHOLD|
13|Customer#000000013|Ez3ax0D5HnUbeU|CANADA   3|CANADA|AMERICA|13-687-542-7601|BUILDING|
14|Customer#000000014|h3GFMzeFf|ARGENTINA1|ARGENTINA|AMERICA|11-781-609-3107|FURNITURE|
15|Customer#000000015|3y4KK4CcfNwNCTP0u0p1Rk6|UNITED KI6|UNITED KINGDOM|EUROPE|33-970-682-3487|HOUSEHOLD|
16|Customer#000000016|P2IQMff18er|IRAN     4|IRAN|MIDDLE EAST|20-155-215-1315|FURNITURE|
17|Customer#000000017|Js JrVHNAyCYMANzPGzvonS|BRAZIL   9|BRAZIL|AMERICA|12-396-526-5053|AUTOMOBILE|
18|Customer#000000018|YyukcsqIxlyuXs7|FRANCE   3|FRANCE|EUROPE|16-957-234-8742|BUILDING|
19|Customer#000000019|yO0XPkiuSWk0vN Ffc|CHINA    4|CHINA|ASIA|28-902-614-8344|HOUSEHOLD|
20|Customer#000000020|i bGScA|RUSSIA   7|RUSSIA|EUROPE|32-806-545-9701|FURNITURE|
21|Customer#000000021|42E5BARt|INDIA    7|INDIA|ASIA|18-312-472-8245|MACHINERY|
22|Customer#000000022|biUBW,0ldzWGT91Do|CANADA   0|CANADA|AMERICA|13-127-851-8031|MACHINERY|
23|Customer#000000023|dN2r4,XdTpNXcoVfBK|CANADA   7|CANADA|AMERICA|13-603-468-3533|HOUSEHOLD|
24|Customer#000000024|k3qlKjqtHuzNAvIFyZX2Yc|JORDAN   7|JORDAN|MIDDLE EAST|23-363-455-4837|MACHINERY|
25|Customer#000000025|kBSktmaKkjm28|JAPAN    0|JAPAN|ASIA|22-137-193-2709|FURNITURE|
26|Customer#000000026|TFH OW1Me|RUSSIA   0|RUSSIA|EUROPE|32-774-241-1462|AUTOMOBILE|
27|Customer#000000027|j8SkiuuBp |CANADA   4|CANADA|AMERICA|13-773-203-7342|BUILDING|
28|Customer#000000028|J5tK,OQa07KQSuY|INDIA    7|INDIA|ASIA|18-764-165-5076|FURNITURE|
29|Customer#000000029| hVQNzLtqGpgUXNMY0wl|ALGERIA  3|ALGERIA|AFRICA|10-197-837-7094|FURNITURE|
30|Customer#000000030|EhnzmgkqQw7UXhF0PVdg gLf|ARGENTINA2|ARGENTINA|AMERICA|11-430-914-2194|BUILDING|
